address,name,mainCategory,dappId,stakersCount
0x695cef87e396c9101212c19261728022705d7d69,ProofX,nft,18,27
0xb0a74ee0732efb430a0c07dc8a93c104033c6eaa,Protofire,tooling,30,9
0x56c2162254b0e4417288786ee402c2b41d4e181e,QuickSwap,defi,74,102
0x2b1fe33cb7264dba6331f54012f04133395fde44,RAIR,nft,55,7
0xa094e566b61b3c2d88acf7cc15e3dd0fa83f32af,Rarible,nft,72,29
0xc8b9dbcd14c122764e17ba686ab6448e9d5a0c3d,Sentio,utility,32,19
0xcca488aeef7a1d5c633f877453784f025e7cf160,"SiO2 Finance",defi,13,220
0x96fb7eb4419fccf7fd97fc6e39ee1f0541c12508,Singular,nft,6,695
XRhquqkD8yxYNjQWNb3NGZ7ypxpNwxpA6hWAD3QBh4vTFJW,"SkyLab Corporation",unstoppable-grants,57,127
0xfade3a4ecd0a6c7ac9c3ba2ea644a824b7a091bb,"Slash Vision Labs",defi,65,46
0xc4335B1b76fA6d52877b3046ECA68F6E708a27dd,"Starlay Finance",defi,40,280
0xA0e232D596d6838d39DdDE9b63916B42246BE15e,SushiTop,nft,54,60
ZdpeaiK28o6DzkdVJardFTZEJTAHKG3HgJn5ZPgsPh345Hg,"Talisman 🪬",utility,33,945
0x51a6ca8dbfea1b19b15037460c14f4b0f80496d7,"The Royal Raffle",nft,23,71
0x26c89cfc3323cb4054be1df2d9c4a3eedb3368da,"VeryLongSwap (Staking airdrop)",defi,73,548
0x4926de018c54511ce2d3be1a0e646725f57155e6,Web3alert,tooling,27,33
0xd2c2e0f97800a909e819beb08b43127ae217f6db,"XO - Web3 Social",others,76,4
0x50a64d05bb8618d8d96a83cbbb12b3044ec3489a,"XY Finance",defi,50,87
0x7BAe21fB8408D534aDfeFcB46371c3576a1D5717,Zenlink,defi,10,214
0x6d47349ce5bae5394730125e55f086d0c863f01f,"apeXchimpz (AXC)",nft,3,417
0x2efbe87a44ac19b6ec50d26218e6d05f2a1a28de,beyondClub,nft,7,72
0x4271bd392c0ea7a668025a29287ae8be4efd865e,mooon,nft,63,86
0xa5efb5bF75BbB607DC243707A83F2AF5ED4E9813,tofuNFT,nft,67,198
